open,high,low,close,volume,minutes_since_day_start,minutes_since_week_start,next_open,next_close,next_low,next_high,next_volume
74.2,74.2,74.2,74.2,108,419,6179,74.2,74.2,74.0,74.4,449.0
74.2,74.4,74.0,74.2,449,420,6180,74.2,74.0,74.0,74.4,2792.0
74.2,74.4,74.0,74.0,2792,421,6181,74.0,73.8,73.8,74.0,5000.0
74.0,74.0,73.8,73.8,5000,422,6182,74.0,74.0,73.8,74.0,144.0
74.0,74.0,73.8,74.0,144,423,6183,73.8,74.0,73.8,74.0,1042.0
73.8,74.0,73.8,74.0,1042,424,6184,74.0,74.0,73.8,74.0,66.0
74.0,74.0,73.8,74.0,66,425,6185,74.0,74.0,73.8,74.0,1212.0
74.0,74.0,73.8,74.0,1212,426,6186,74.0,74.2,74.0,74.2,362.0
74.0,74.2,74.0,74.2,362,427,6187,74.0,74.2,74.0,74.2,641.0
74.0,74.2,74.0,74.2,641,428,6188,74.2,74.2,74.2,74.2,356.0
74.2,74.2,74.2,74.2,356,429,6189,74.2,74.2,74.0,74.2,2798.0
74.2,74.2,74.0,74.2,2798,430,6190,74.0,74.2,74.0,74.2,1538.0
74.0,74.2,74.0,74.2,1538,431,6191,74.2,74.2,74.2,74.2,1100.0
74.2,74.2,74.2,74.2,1100,432,6192,74.2,74.2,74.0,74.2,1131.0
74.2,74.2,74.0,74.2,1131,433,6193,74.2,74.0,74.0,74.2,2501.0
74.2,74.2,74.0,74.0,2501,434,6194,74.2,74.2,74.0,74.2,76.0
74.2,74.2,74.0,74.2,76,435,6195,74.0,74.2,74.0,74.2,207.0
74.0,74.2,74.0,74.2,207,436,6196,74.2,74.2,74.2,74.2,5012.0
74.2,74.2,74.2,74.2,5012,437,6197,74.2,74.2,74.0,74.2,5273.0
74.2,74.2,74.0,74.2,5273,438,6198,74.2,74.2,74.2,74.2,20.0
74.2,74.2,74.2,74.2,20,439,6199,74.0,74.2,74.0,74.2,1026.0
