open,high,low,close,volume,minutes_since_day_start,minutes_since_week_start,next_open,next_close,next_low,next_high,next_volume
97.4,97.4,97.4,97.4,514,419,419,97.6,96.8,96.8,97.6,11305.0
97.6,97.6,96.8,96.8,11305,420,420,96.8,96.6,95.2,97.2,30242.0
96.8,97.2,95.2,96.6,30242,421,421,96.8,95.8,95.2,96.8,15029.0
96.8,96.8,95.2,95.8,15029,422,422,95.8,96.4,95.6,96.8,16157.0
95.8,96.8,95.6,96.4,16157,423,423,96.4,96.6,96.2,96.6,1756.0
96.4,96.6,96.2,96.6,1756,424,424,96.6,96.6,96.4,96.6,832.0
96.6,96.6,96.4,96.6,832,425,425,96.4,96.2,96.0,96.6,9125.0
96.4,96.6,96.0,96.2,9125,426,426,96.4,96.0,96.0,96.6,12076.0
96.4,96.6,96.0,96.0,12076,427,427,96.2,96.2,95.8,96.4,10803.0
96.2,96.4,95.8,96.2,10803,428,428,96.2,96.0,95.8,96.2,7870.0
96.2,96.2,95.8,96.0,7870,429,429,96.2,97.4,96.0,97.4,25192.0
96.2,97.4,96.0,97.4,25192,430,430,97.4,97.8,97.4,97.8,8259.0
97.4,97.8,97.4,97.8,8259,431,431,97.8,97.8,97.6,98.0,5814.0
97.8,98.0,97.6,97.8,5814,432,432,98.2,98.6,97.4,98.8,21783.0
98.2,98.8,97.4,98.6,21783,433,433,98.6,99.0,98.6,99.0,24243.0
98.6,99.0,98.6,99.0,24243,434,434,99.0,99.4,98.8,99.4,18391.0
99.0,99.4,98.8,99.4,18391,435,435,99.4,99.4,99.0,99.6,14865.0
99.4,99.6,99.0,99.4,14865,436,436,99.0,98.8,98.4,99.2,16527.0
99.0,99.2,98.4,98.8,16527,437,437,98.6,98.6,98.4,98.6,2620.0
98.6,98.6,98.4,98.6,2620,438,438,98.4,98.6,98.4,98.6,4936.0
98.4,98.6,98.4,98.6,4936,439,439,98.6,98.8,98.6,98.8,5383.0
98.6,98.8,98.6,98.8,5383,440,440,98.8,99.4,98.8,99.4,12125.0
98.8,99.4,98.8,99.4,12125,441,441,99.0,99.6,99.0,99.6,22878.0
99.0,99.6,99.0,99.6,22878,442,442,99.4,99.6,99.4,99.6,6863.0
99.4,99.6,99.4,99.6,6863,443,443,99.6,99.4,99.4,99.6,4478.0
99.6,99.6,99.4,99.4,4478,444,444,99.6,99.4,99.2,99.6,17170.0
99.6,99.6,99.2,99.4,17170,445,445,99.4,99.2,99.0,99.4,5652.0
99.4,99.4,99.0,99.2,5652,446,446,99.0,99.0,98.8,99.2,13291.0
